province,date,temp_max,temp_min,wind_speed,precipitation,humidity
HO CHI MINH,2019-01-22,33.0,25.0,7.0,0.1,61.0
HO CHI MINH,2020-01-22,35.0,25.0,12.0,0.0,59.0
HO CHI MINH,2021-01-22,31.0,24.0,8.0,5.1,70.0
HO CHI MINH,2009-01-24,29.0,24.0,7.0,0.1,72.0
HO CHI MINH,2010-01-24,34.0,23.0,9.0,0.0,64.0
HO CHI MINH,2011-01-24,31.0,23.0,4.0,1.8,75.0
HO CHI MINH,2012-01-24,34.0,24.0,6.0,1.8,72.0
HO CHI MINH,2013-01-24,33.0,24.0,8.0,0.0,70.0
HO CHI MINH,2014-01-24,33.0,18.0,5.0,0.0,62.0
HO CHI MINH,2015-01-24,34.0,23.0,9.0,0.0,61.0
HO CHI MINH,2016-01-24,33.0,26.0,11.0,0.2,59.0
HO CHI MINH,2017-01-24,33.0,24.0,6.0,0.3,64.0
HO CHI MINH,2018-01-24,33.0,25.0,8.0,6.2,72.0
HO CHI MINH,2019-01-24,35.0,23.0,7.0,0.0,56.0
HO CHI MINH,2020-01-24,36.0,24.0,11.0,0.0,56.0
HO CHI MINH,2021-01-24,31.0,24.0,8.0,3.8,71.0
HO CHI MINH,2009-01-25,33.0,24.0,6.0,0.0,65.0
HO CHI MINH,2010-01-25,34.0,23.0,7.0,0.1,65.0
HO CHI MINH,2011-01-25,33.0,23.0,6.0,0.6,67.0
HO CHI MINH,2012-01-25,33.0,24.0,6.0,4.3,74.0
HO CHI MINH,2013-01-25,33.0,23.0,9.0,0.1,70.0
HO CHI MINH,2014-01-25,30.0,19.0,8.0,0.0,71.0
HO CHI MINH,2015-01-25,35.0,23.0,10.0,0.0,60.0
HO CHI MINH,2016-01-25,33.0,23.0,11.0,0.0,49.0
HO CHI MINH,2017-01-25,33.0,25.0,6.0,9.1,70.0
HO CHI MINH,2018-01-25,33.0,26.0,8.0,0.0,66.0
HO CHI MINH,2019-01-25,34.0,23.0,8.0,0.0,55.0
HO CHI MINH,2020-01-25,34.0,24.0,14.0,0.0,63.0
HO CHI MINH,2021-01-25,32.0,24.0,8.0,0.0,66.0
HO CHI MINH,2009-01-21,36.0,21.0,5.0,0.0,64.0
HO CHI MINH,2010-01-21,31.0,22.0,11.0,0.0,79.0
HO CHI MINH,2011-01-21,33.0,23.0,4.0,7.7,74.0
HO CHI MINH,2012-01-21,33.0,23.0,9.0,0.0,68.0
HO CHI MINH,2013-01-21,35.0,25.0,7.0,0.0,64.0
HO CHI MINH,2014-01-21,30.0,20.0,7.0,0.0,62.0
HO CHI MINH,2015-01-21,34.0,23.0,8.0,0.0,62.0
HO CHI MINH,2016-01-21,35.0,25.0,15.0,0.0,61.0
HO CHI MINH,2017-01-21,32.0,24.0,7.0,6.1,72.0
HO CHI MINH,2018-01-21,34.0,25.0,6.0,1.1,66.0
HO CHI MINH,2019-01-21,34.0,25.0,10.0,0.0,59.0
HO CHI MINH,2020-01-21,35.0,24.0,10.0,0.0,55.0
HO CHI MINH,2021-01-21,33.0,24.0,8.0,0.0,65.0
HO CHI MINH,2009-01-28,34.0,23.0,6.0,0.0,60.0
HO CHI MINH,2010-01-28,33.0,24.0,8.0,0.0,60.0
